iter	Passed	Remaining
0	1	145
1	2	131
2	3	122
3	4	117
4	6	117
5	7	115
6	8	110
7	9	107
8	10	104
9	11	103
10	12	102
11	13	100
12	14	99
13	16	99
14	17	97
15	18	96
16	19	96
17	20	93
18	21	92
19	22	91
20	24	91
21	25	89
22	26	88
23	27	86
24	28	86
25	30	85
26	31	85
27	32	84
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	44	70
39	45	68
40	46	67
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
